day,maximum_fare,minimum_fare,avg_fare,std_dev_fare,rides
2013-10-07,99999.00,0.00,1298.25,1371.27,68389
2013-10-08,900068.00,0.00,1292.05,6209.10,71466
2013-10-09,900090.00,0.00,1366.41,6871.81,75417
2013-10-10,790040.00,0.00,1326.40,4555.14,83655
2013-10-11,900082.00,0.00,1315.67,6308.89,95048
2013-10-12,99999.00,0.00,1082.62,1020.48,94097
2013-10-13,900132.00,0.00,1224.27,5621.08,81992
2013-10-14,600092.00,0.00,1368.96,2763.32,64052
2013-10-15,900060.00,0.00,1376.67,8737.43,70720
2013-10-16,60305.00,0.00,1293.18,1197.73,72871
2013-10-17,800052.00,0.00,1330.30,7994.10,86960
2013-10-18,900116.00,0.00,1337.42,9264.46,100353
2013-10-19,400062.00,0.00,1064.42,1692.09,98171
2013-10-20,147074.00,0.00,1268.64,1310.87,76429
2013-10-21,416383.00,0.00,1339.87,2105.32,69841
2013-10-22,927791.00,0.00,1256.98,5221.30,74406
2013-10-23,760035.00,0.00,1286.72,4911.36,80451
2013-10-24,900092.00,0.00,1383.63,9002.57,87424
2013-10-25,900084.00,0.00,1254.50,5902.82,97938
2013-10-26,810019.00,0.00,1099.66,4941.08,98241
2013-10-27,800072.00,0.00,1245.77,4134.08,81976
2013-10-28,700150.00,0.00,1332.70,3883.27,64324
2013-10-29,600122.00,0.00,1226.32,3789.04,68601
2013-10-30,666666.00,0.00,1214.91,2742.92,73488
2013-10-31,99999.00,0.00,1140.16,1182.59,81288
2013-11-01,290008.00,0.00,1074.23,1340.73,103824
2013-11-02,667425.00,0.00,1088.89,6311.60,95845
2013-11-03,90000.00,0.00,1223.41,1241.28,77355
2013-11-04,900292.00,0.00,1393.60,6690.53,66446
2013-11-05,950046.00,0.00,1262.51,4950.29,75788
2013-11-06,900052.00,0.00,1287.87,7186.22,85680
2013-11-07,300344.00,0.00,1232.74,1968.23,87010
2013-11-08,950021.00,0.00,1246.19,5953.61,96912
2013-11-09,63999.00,0.00,1041.53,826.68,97345
2013-11-10,400130.00,0.00,1175.42,1733.31,82052
2013-11-11,99999.00,0.00,1248.40,1395.88,68748
2013-11-12,800082.00,0.00,1279.14,6573.86,74602
2013-11-13,444111.00,0.00,1234.12,2088.49,81145
2013-11-14,256825.00,0.00,1214.21,1395.66,84184
2013-11-15,200000.00,0.00,1149.95,1158.59,99277
2013-11-16,303030.00,0.00,1053.58,1378.39,104227
2013-11-17,970023.00,0.00,1224.44,4431.81,82409
2013-11-18,600354.00,0.00,1325.01,2528.86,75185
2013-11-19,900094.00,0.00,1249.85,5767.16,75576
2013-11-20,940027.00,0.00,1251.34,5581.21,82502
2013-11-21,400012.00,0.00,1261.86,3288.32,84733
